Name,Year of release,Original Network,Number of Episodes,Duration,Content Rating,Rating,Genre,Cast,Rank
Jewel in the Palace,2003,MBC,54,1 hr. 5 min.,13+ - Teens 13 or older,8.6,food  historical  romance  medical,"Lee Young Ae, Ji Jin Hee, Hong Ri Na, Im Ho, Yang  Mi Kyung, Kyeon Mi Ri",#73
"It's Okay, That's Love",2014,SBS,16,60 min.,15+ - Teens 15 or older,8.6,psychological  comedy  romance  drama,"Jo In Sung, Gong Hyo Jin, Sung Dong Il, Lee Kwang Soo, Jin Kyung, Lee Sung Kyung",#74
Little Women,2022,"Netflix, tvN",12,1 hr. 15 min.,15+ - Teens 15 or older,8.6,action  thriller  mystery  drama,"Kim Go Eun, Nam Ji Hyun, Park Ji Hoo, Wi Ha Joon, Uhm Ki Joon, Uhm Ji Won",#75
Ghost Doctor,2022,tvN,16,1 hr. 10 min.,15+ - Teens 15 or older,8.6,comedy  medical  fantasy  supernatural,"Rain, Kim Bum, Uee, Son Na Eun, Sung Dong Il, Tae In Ho",#76
Eulachacha Waikiki,2018,jTBC,20,1 hr. 5 min.,15+ - Teens 15 or older,8.6,comedy  life  youth  drama,"Kim Jung Hyun, Lee Yi Kyung, Son Seung Won, Jung In Sun, Go Won Hee, Lee Joo Woo",#77
The Bridal Mask,2012,KBS2,28,1 hr. 5 min.,15+ - Teens 15 or older,8.6,action  historical  romance  political,"Joo Won, Jin Se Yeon, Park Ki Woong, Han Chae Ah, Shin Hyun Joon, Chun Ho Jin",#78
Children of Nobody,2018,MBC,32,30 min.,15+ - Teens 15 or older,8.6,thriller  mystery  psychological  crime  drama,"Kim Sun Ah, Lee Yi Kyung, Nam Gyu Ri, N, Joo Seok Tae, Na Young Hee",#79
Good Manager,2017,KBS2,20,60 min.,15+ - Teens 15 or older,8.6,business  comedy  crime  drama,"Namkoong Min, Nam Sang Mi, Lee Jun Ho, Jung Hye Sung, Kim Won Hae, Kim Kang Hyun",#80
The King of Pigs,2022,tvN,12,55 min.,18+ Restricted (violence & profanity),8.6,thriller  mystery  drama,"Kim Dong Wook, Kim Sung Gyu, Chae Jung An, Choi Hyun Jin, Sim Hyun Seo, Lee Chan Yoo",#81
Big Mouth,2022,"Hulu, MBC",16,1 hr. 11 min.,15+ - Teens 15 or older,8.6,thriller  mystery  law  drama,"Lee Jong Suk, Im Yoon Ah, Kim Joo Heon, Kwak Dong Yeon, Yang Kyung Won, Ok Ja Yeon",#82
Go Back Couple,2017,KBS2,12,1 hr. 10 min.,15+ - Teens 15 or older,8.6,comedy  romance  life  school  drama  family  supernatural,"Jang Na Ra, Son Ho Jun, Heo Jung Min, Han Bo Reum, Jang Ki Yong, Go Bo Gyeol",#83
Empress Ki,2013,MBC,51,1 hr. 5 min.,15+ - Teens 15 or older,8.6,historical  romance  melodrama  political,"Ha Ji Won, Ji Chang Wook, Joo Jin Mo, Baek Jin Hee, Kim Ji Han, Kim Seo Hyung",#84
My Father is Strange,2017,KBS2,52,1 hr. 6 min.,15+ - Teens 15 or older,8.6,comedy  romance  drama  family,"Kim Yeong Cheol, Kim Hae Sook, Ryu Soo Young, Lee Yoo Ri, Lee Joon, Jung So Min",#85
Once Again,2020,KBS2,100,35 min.,15+ - Teens 15 or older,8.6,comedy  romance  drama  family,"Chun Ho Jin, Cha Hwa Yun, Lee Jung Eun, Oh Dae Hwan, Lee Min Jung, Lee Sang Yeob",#86
Missing,2020,OCN,12,1 hr. 10 min.,15+ - Teens 15 or older,8.6,thriller  mystery  supernatural,"Go Soo, Heo Joon Ho, Ahn So Hee, Ha Joon, Seo Eun Soo, Song Geon Hee",#87
Stranger 2,2020,"Netflix,  tvN ",16,1 hr. 2 min.,15+ - Teens 15 or older,8.6,thriller  mystery  law  drama,"Jo Seung Woo, Bae Doo Na, Jeon Hye Jin, Choi Moo Sung, Lee Joon Hyuk, Yoon Se Ah",#88
Designated Survivor,2019,"Netflix,  tvN ",16,1 hr. 10 min.,15+ - Teens 15 or older,8.6,thriller  mystery  drama  political,"Ji Jin Hee, Son Seok Koo, Kang Han Na, Heo Joon Ho, Lee Joon Hyuk, Choi Yoon Young",#89
Juvenile Justice,2022,Netflix,10,1 hr. 2 min.,18+ Restricted (violence & profanity),8.6,law  drama,"Kim Hye Soo, Kim Mu Yeol, Lee Sung Min, Lee Jung Eun, Lee Sang Hee, Park Ji Yun",#90
Cruel City,2013,jTBC,20,60 min.,15+ - Teens 15 or older,8.6,action  thriller  romance  crime,"Jung Kyung Ho, Nam Gyu Ri, Lee Jae Yoon, Son Chang Min, Kim Yoo Mi, Choi Moo Sung",#91
My Love from the Star,2013,SBS,21,58 min.,15+ - Teens 15 or older,8.6,comedy  romance  drama  supernatural,"Kim Soo Hyun, Jun Ji Hyun, Park Hae Jin, Yoo In Na, Shin Sung Rok, Kim Chang Wan",#92
Mystic Pop-Up Bar,2020,"jTBC,  Netflix ",12,1 hr. 8 min.,15+ - Teens 15 or older,8.6,mystery  comedy  family  fantasy,"Hwang Jung Eum, Yook Sung Jae, Choi Won Young, Jung Da Eun, Lee Joon Hyuk, Na In Woo",#93
Age of Youth,2016,jTBC,12,60 min.,15+ - Teens 15 or older,8.6,friendship  romance  life  youth,"Han Ye Ri, Ryu Hwa Young, Park Eun Bin, Han Seung Yeon, Park Hye Soo, Yoon Park",#94
Just Between Lovers,2017,jTBC,16,1 hr. 13 min.,15+ - Teens 15 or older,8.6,psychological  romance  melodrama,"Lee Jun Ho, Won Jin Ah, Lee Ki Woo, Kang Han Na, Kim Hye Joon, Yoon Se Ah",#95
Save Me,2017,OCN,16,60 min.,15+ - Teens 15 or older,8.6,action  thriller  mystery  drama,"Seo Yea Ji, Ok Taec Yeon, Woo Do Hwan, Jo Sung Ha, Jo Jae Yoon, Park Ji Young",#96
Bad and Crazy,2021,"iQiyi, tvN",12,1 hr. 10 min.,15+ - Teens 15 or older,8.6,action  thriller  mystery  comedy,"Lee Dong Wook, Wi Ha Joon, Han Ji Eun, Cha Hak Yeon, Sung Ji Ru, Cha Shi Won",#97
365,2020,MBC,24,35 min.,15+ - Teens 15 or older,8.6,thriller  mystery  drama  fantasy,"Lee Joon Hyuk, Nam Ji Hyun, Kim Jee Soo, Lee Sung Wook, Yoon Joo Sang, Ahn Seung Gyun",#98
The Master's Sun,2013,SBS,17,1 hr. 2 min.,15+ - Teens 15 or older,8.6,horror  comedy  romance  supernatural,"Gong Hyo Jin, So Ji Sub, Seo In Guk, Kim Yoo Ri, Choi Jung Woo, Kim  Mi Kyung",#99
Avengers Social Club,2017,tvN,12,60 min.,15+ - Teens 15 or older,8.6,friendship  comedy  life  drama,"Lee Yo Won, Ra Mi Ran, Myung Se Bin, Lee Jun Young, Choi Byung Mo, Jang Yong",#100
Rebel,2017,MBC,30,60 min.,15+ - Teens 15 or older,8.5,action  thriller  historical  romance,"Yoon Kyun Sang, Chae Soo Bin, Kim Ji Suk, Lee Ha Nee, Kim Sang Joong, Shim Hee Sub",#101
Nobody Knows,2020,SBS,16,1 hr. 10 min.,15+ - Teens 15 or older,8.5,thriller  mystery  drama  melodrama,"Kim Seo Hyung, Ryu Deok Hwan, Park Hoon, Ahn Ji Ho, Min Jin Woong, Kang Ye Won",#102
Bad Guys,2014,OCN,11,1 hr. 5 min.,18+ Restricted (violence & profanity),8.5,action  thriller  psychological  crime,"Kim Sang Joong, Park Hae Jin, Jo Dong Hyuk, Ma Dong Seok, Kang Ye Won, Kang Shin Il",#103
Beautiful World,2019,"jTBC,  Viki ",16,60 min.,15+ - Teens 15 or older,8.5,life  school  family  melodrama,"Park Hee Soon , Choo Ja Hyun, Oh Man Suk, Cho Yeo Jung, Nam  Da Reum , Kim Hwan Hee",#104
Arthdal Chronicles Part 1,2019,"Netflix,  tvN ",6,1 hr. 20 min.,15+ - Teens 15 or older,8.5,historical  romance  fantasy  political,"Song Joong Ki, Kim Ji Won, Jang Dong Gun, Kim Ok Bin, Kim Eui Sung, Lee Do Kyung",#105
Kairos,2020,MBC,16,1 hr. 10 min.,15+ - Teens 15 or older,8.5,action  thriller  drama  sci-fi,"Shin Sung Rok, Lee Se Young, Ahn Bo Hyun, Nam Gyu Ri, Kang Seung Yoon, Jo Dong In",#106
I Hear Your Voice,2013,SBS,18,60 min.,15+ - Teens 15 or older,8.5,mystery  law  romance  supernatural,"Lee Jong Suk, Lee Bo Young, Yoon Sang Hyun, Lee Da Hee, Jung Woong In, Yoon Joo Sang",#107
What's Wrong with Secretary Kim,2018,tvN,16,1 hr. 9 min.,15+ - Teens 15 or older,8.5,friendship  business  comedy  romance,"Park Min Young, Park Seo Joon, Lee Tae Hwan, Pyo Ye Jin, Kim Hye Ok, Kim Byung Ok",#108
Vagabond,2019,"Netflix,  SBS ",16,1 hr. 10 min.,15+ - Teens 15 or older,8.5,action  thriller  mystery  crime,"Lee Seung Gi, Bae Suzy, Shin Sung Rok, Baek  Yoon Shik, Moon Sung Geun, Kim Min Jong",#109
One Ordinary Day,2021,ViuTV,8,1 hr. 10 min.,18+ Restricted (violence & profanity),8.5,thriller  mystery  law  crime,"Kim Soo Hyun, Cha Seung Won, Lee Seol, Kim Shin Rok, Kim Hong Pa, Kim Sung Gyu",#110
Reply 1997,2012,tvN,16,60 min.,15+ - Teens 15 or older,8.5,comedy  romance  life  family,"Jung Eun Ji, Seo In Guk, Hoya, Shin So Yool, Eun Ji Won, Lee Si Eon",#111
Doctor John,2019,SBS,32,35 min.,15+ - Teens 15 or older,8.5,mystery  romance  life  medical,"Ji Sung, Lee Se Young, Lee Kyu Hyung, Hwang Hee, Jung Min Ah, Kwon Hwa Woon",#112
"Hi Bye, Mama!",2020,"Netflix, tvN",16,1 hr. 10 min.,15+ - Teens 15 or older,8.5,romance  drama  melodrama  supernatural,"Kim Tae Hee, Lee Kyu Hyung, Go Bo Gyeol, Seo Woo Jin, Shin Dong Mi, Oh Eui Shik",#113
